Gen:        Fevals:          Best:   Improvement:     Mutations:
   2051           2051        3987.63        2.42188              2
   2086           2086        3978.25        9.38554              1
   2090           2090        3971.22        7.02897              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2097           2097        3969.65        1.56285              1
   2102           2102        3960.01        9.64306              1
   2121           2121        3954.65        5.36113              1
   2123           2123        3948.31        6.34327              1
   2124           2124        3920.68        27.6245              1
   2128           2128        3918.52        2.16184              1
   2136           2136        3884.29        34.2328              2
   2143           2143        3875.96        8.32736              2
   2147           2147         3864.7        11.2655              1
   2151           2151        3856.13        8.56472              1
   2153           2153        3851.31        4.81651              2
   2171           2171         3842.9        8.41699              1
   2183           2183        3840.42        2.47363              1
   2191           2191        3785.61        54.8181              1
   2195           2195         3762.6        23.0062              2
   2202           2202        3753.97        8.62427              1
   2206           2206        3751.04        2.93072              2
   2212           2212        3743.34        7.70275              1
   2222           2222        3724.22        19.1181              1
   2228           2228        3713.95        10.2747              1
   2231           2231        3712.13        1.81826              1
   2238           2238        3705.88        6.24677              1
   2240           2240        3705.53       0.355213              1
   2247           2247        3702.93        2.60289              1
   2249           2249        3696.87        6.05785              1
   2265           2265        3696.67       0.192812              1
   2268           2268        3686.52        10.1528              1
   2269           2269        3684.19        2.33661              1
   2276           2276        3672.31        11.8786              2
   2296           2296        3668.01        4.29592              1
   2311           2311        3665.95        2.06481              1
   2316           2316        3665.53       0.416427              1
   2317           2317        3661.45        4.07541              1
   2319           2319        3661.42      0.0306843              1
   2328           2328        3661.06        0.36263              1
   2341           2341        3640.29        20.7705              2
   2355           2355         3616.8        23.4925              1
   2379           2379        3614.41        2.38635              1
   2386           2386        3611.79        2.61754              1
   2387           2387        3610.89       0.900438              1
   2390           2390        3609.12        1.77201              1
   2395           2395        3600.65        8.47373              1
   2396           2396        3594.21        6.43656              1
   2397           2397        3586.54        7.67056              1
   2411           2411        3582.95        3.59491              1
   2425           2425        3580.01        2.93833              1
   2432           2432         3579.1        0.90936              1
   2435           2435         3573.9        5.20084              1
   2444           2444        3570.35        3.54279              3
   2451           2451        3569.41       0.942511              2

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2464           2464        3558.65        10.7583              3
   2480           2480        3544.93        13.7243              1
   2483           2483        3538.05        6.87892              1
   2489           2489        3530.62        7.42866              1
   2490           2490        3526.31        4.31286              1
   2508           2508        3522.05        4.26148              1
   2527           2527        3511.11        10.9393              1
   2557           2557        3498.58        12.5272              1
   2562           2562         3488.8        9.77832              1
   2569           2569        3476.08        12.7181              1
   2571           2571        3473.61        2.47096              1
   2576           2576        3466.97        6.64197              1
   2602           2602        3465.02        1.95563              1
   2620           2620        3460.62        4.39129              1
   2630           2630        3445.46        15.1649              3
   2632           2632        3439.03        6.43034              1
   2648           2648        3426.19        12.8363              2
   2663           2663        3413.94        12.2569              1
   2666           2666        3401.97        11.9686              1
   2668           2668        3398.32        3.64728              2
   2670           2670        3390.37        7.94683              1
   2679           2679         3388.4        1.96988              1
   2681           2681        3385.56        2.84344              1
   2682           2682        3377.73        7.83466              1
   2686           2686        3374.44        3.28163              1
   2689           2689        3372.97        1.47739              1
   2691           2691        3372.44       0.527225              1
   2692           2692        3371.28        1.15958              1
   2699           2699        3369.01        2.27105              1
   2706           2706        3361.18        7.83096              1
   2707           2707        3331.73        29.4462              1
   2733           2733        3331.46       0.267556              1
   2758           2758        3327.21         4.2587              1
   2783           2783        3306.91        20.2929              1
   2788           2788        3305.59        1.31877              1
   2839           2839        3297.91        7.67899              1
   2840           2840        3286.07        11.8417              1
   2842           2842        3266.69        19.3847              2
   2847           2847        3250.87        15.8169              2
