Gen:        Fevals:          Best:   Improvement:     Mutations:
   1972           1972       -120.618     0.00827286              1
   1977           1977       -120.657      0.0392952              1
   1990           1990       -120.658     0.00134316              1
   1998           1998       -120.677      0.0191708              1
   1999           1999       -120.686     0.00855848              1
   2001           2001       -120.692     0.00643197              1
   2007           2007       -120.699      0.0066028              1
   2010           2010       -120.715      0.0160766              1
   2017           2017       -120.716     0.00139696              3
   2022           2022       -120.717    0.000156387              2
   2031           2031        -120.72     0.00347036              1
   2032           2032        -120.72    0.000105163              1
   2034           2034       -120.729     0.00851046              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2042           2042       -120.731     0.00278212              1
   2044           2044       -120.742      0.0104282              5
   2046           2046       -120.742    0.000334952              1
   2052           2052       -120.744     0.00205682              1
   2055           2055       -120.748     0.00385711              1
   2057           2057       -120.753     0.00466277              1
   2060           2060       -120.754     0.00164379              1
   2063           2063       -120.787      0.0321323              1
   2066           2066       -120.789     0.00286237              1
   2067           2067         -120.8      0.0105848              1
   2101           2101       -120.816      0.0156783              2
   2102           2102       -120.816    0.000453272              1
   2103           2103       -120.821     0.00456403              1
   2110           2110       -120.822    0.000834217              1
   2116           2116       -120.826     0.00479055              1
   2126           2126       -120.834     0.00781068              1
   2130           2130       -120.836     0.00226396              1
   2132           2132       -120.838     0.00119539              2
   2134           2134       -120.842     0.00419308              1
   2137           2137       -120.852      0.0103358              1
   2145           2145       -120.857      0.0052238              2
   2159           2159       -120.869      0.0119806              2
   2160           2160       -120.874     0.00430015              1
   2163           2163       -120.891      0.0170164              1
   2169           2169         -120.9     0.00918866              2
   2170           2170       -120.913      0.0131055              1
   2176           2176       -120.916     0.00274074              1
   2186           2186       -120.917     0.00157105              2
   2194           2194        -120.92      0.0030573              1
   2201           2201       -120.921    0.000754393              1
   2202           2202       -120.922    0.000790194              2
   2203           2203       -120.923     0.00129593              1
   2208           2208       -120.965      0.0416713              2
   2212           2212       -120.965    0.000160686              1
   2222           2222       -120.972     0.00717419              2
   2224           2224       -120.972    0.000154568              1
   2238           2238       -120.984      0.0114253              1
   2249           2249       -121.003      0.0190421              1
   2257           2257       -121.014       0.011166              1
   2266           2266       -121.016     0.00183354              1
   2269           2269       -121.016    0.000412062              1
   2277           2277       -121.018     0.00153274              1
   2295           2295       -121.021     0.00304703              2
   2298           2298       -121.039      0.0178227              2
   2304           2304       -121.053       0.014326              1
   2323           2323       -121.054    0.000788737              1
   2328           2328       -121.056     0.00270993              1
   2333           2333       -121.057    0.000636717              1
   2336           2336       -121.058    0.000786923              1
   2337           2337       -121.062     0.00376134              1

   Gen:        Fevals:          Best:   Improvement:     Mutations:
   2346           2346       -121.072      0.0102985              2
   2361           2361       -121.087      0.0147993              1
   2362           2362        -121.09     0.00290346              1
   2386           2386       -121.109      0.0198026              1
   2406           2406       -121.116     0.00658124              1
   2408           2408       -121.127      0.0110739              2
   2414           2414       -121.155       0.028291              1
   2420           2420       -121.159     0.00387394              1
   2423           2423        -121.16     0.00108042              1
   2437           2437        -121.17     0.00917704              2
   2441           2441       -121.184      0.0148286              1
   2443           2443       -121.186     0.00204015              1
   2446           2446       -121.196     0.00954628              2
   2458           2458       -121.201       0.004839              2
   2465           2465        -121.21     0.00892198              1
   2467           2467       -121.216     0.00643515              1
   2477           2477       -121.217    0.000554236              1
   2478           2478       -121.254      0.0376599              1
   2512           2512       -121.258     0.00383699              1
   2519           2519       -121.265     0.00723711              1
   2525           2525       -121.268     0.00295053              1
   2527           2527       -121.284      0.0157672              1
   2538           2538        -121.29     0.00546423              1
   2540           2540        -121.29     0.00079955              1
   2542           2542       -121.301      0.0109659              1
   2544           2544       -121.305     0.00387953              2
   2556           2556       -121.306    0.000434747              1
   2558           2558       -121.308     0.00244188              1
